,images,label
161,PetImages\Dog\3091.jpg,11
162,PetImages\Cat\717.jpg,00
163,PetImages\Dog\2830.jpg,11
164,PetImages\Dog\4083.jpg,11
165,PetImages\Dog\3972.jpg,11
166,PetImages\Cat\3513.jpg,00
167,PetImages\Cat\825.jpg,00
168,PetImages\Dog\4618.jpg,11
169,PetImages\Cat\1600.jpg,00
170,PetImages\Dog\2625.jpg,11
171,PetImages\Dog\3358.jpg,11
172,PetImages\Dog\2860.jpg,11
173,PetImages\Cat\2682.jpg,00
174,PetImages\Cat\3839.jpg,00
175,PetImages\Cat\747.jpg,00
176,PetImages\Dog\4696.jpg,11
177,PetImages\Dog\3818.jpg,11
178,PetImages\Cat\4748.jpg,00
179,PetImages\Dog\3797.jpg,11
180,PetImages\Dog\2567.jpg,11
181,PetImages\Cat\4628.jpg,00
182,PetImages\Dog\3384.jpg,11
183,PetImages\Dog\3066.jpg,11
184,PetImages\Cat\1921.jpg,00
185,PetImages\Cat\3892.jpg,00
186,PetImages\Cat\3697.jpg,00
187,PetImages\Dog\2970.jpg,11
188,PetImages\Cat\4435.jpg,00
189,PetImages\Cat\3245.jpg,00
190,PetImages\Dog\785.jpg,11
191,PetImages\Cat\1824.jpg,00
192,PetImages\Cat\2859.jpg,00
193,PetImages\Dog\296.jpg,11
194,PetImages\Cat\2860.jpg,00
195,PetImages\Dog\1103.jpg,11
196,PetImages\Dog\4668.jpg,11
197,PetImages\Cat\2594.jpg,00
198,PetImages\Dog\3924.jpg,11
199,PetImages\Dog\3452.jpg,11
200,PetImages\Cat\4502.jpg,00
201,PetImages\Dog\4799.jpg,11
202,PetImages\Cat\2384.jpg,00
203,PetImages\Dog\2712.jpg,11
204,PetImages\Cat\1121.jpg,00
205,PetImages\Cat\1535.jpg,00
206,PetImages\Dog\2803.jpg,11
207,PetImages\Cat\3310.jpg,00
208,PetImages\Dog\142.jpg,11
209,PetImages\Dog\3604.jpg,11
210,PetImages\Cat\947.jpg,00
211,PetImages\Dog\2848.jpg,11
212,PetImages\Dog\4771.jpg,11
213,PetImages\Cat\2393.jpg,00
214,PetImages\Dog\3826.jpg,11
215,PetImages\Dog\198.jpg,11
216,PetImages\Cat\3970.jpg,00
217,PetImages\Cat\1041.jpg,00
218,PetImages\Cat\4171.jpg,00
219,PetImages\Cat\1409.jpg,00
220,PetImages\Dog\948.jpg,11
221,PetImages\Dog\2210.jpg,11
222,PetImages\Dog\596.jpg,11
223,PetImages\Dog\447.jpg,11
224,PetImages\Cat\2865.jpg,00
225,PetImages\Cat\4474.jpg,00
226,PetImages\Dog\4542.jpg,11
227,PetImages\Dog\4471.jpg,11
228,PetImages\Cat\31.jpg,00
229,PetImages\Dog\141.jpg,11
230,PetImages\Cat\113.jpg,00
231,PetImages\Cat\2901.jpg,00
232,PetImages\Dog\4168.jpg,11
233,PetImages\Cat\1170.jpg,00
234,PetImages\Cat\3798.jpg,00
235,PetImages\Dog\1466.jpg,11
236,PetImages\Dog\4376.jpg,11
237,PetImages\Dog\3213.jpg,11
238,PetImages\Dog\2800.jpg,11
239,PetImages\Cat\439.jpg,00
240,PetImages\Dog\1967.jpg,11
241,PetImages\Cat\2760.jpg,00
242,PetImages\Dog\1792.jpg,11
243,PetImages\Cat\4534.jpg,00
244,PetImages\Cat\4019.jpg,00
245,PetImages\Cat\1524.jpg,00
246,PetImages\Cat\59.jpg,00
247,PetImages\Dog\3105.jpg,11
248,PetImages\Dog\1396.jpg,11
249,PetImages\Dog\4719.jpg,11
250,PetImages\Cat\2900.jpg,00
251,PetImages\Cat\2983.jpg,00
252,PetImages\Dog\2371.jpg,11
253,PetImages\Dog\1789.jpg,11
254,PetImages\Dog\1910.jpg,11
255,PetImages\Dog\651.jpg,11
256,PetImages\Cat\241.jpg,00
257,PetImages\Dog\4292.jpg,11
258,PetImages\Dog\108.jpg,11
259,PetImages\Dog\1499.jpg,11
260,PetImages\Cat\3729.jpg,00
261,PetImages\Cat\4044.jpg,00
262,PetImages\Dog\4602.jpg,11
263,PetImages\Dog\4745.jpg,11
264,PetImages\Dog\3652.jpg,11
265,PetImages\Cat\4884.jpg,00
266,PetImages\Dog\2550.jpg,11
267,PetImages\Cat\1955.jpg,00
268,PetImages\Dog\993.jpg,11
269,PetImages\Dog\3807.jpg,11
270,PetImages\Cat\1599.jpg,00
271,PetImages\Cat\2358.jpg,00
272,PetImages\Cat\2848.jpg,00
273,PetImages\Dog\1267.jpg,11
274,PetImages\Cat\3587.jpg,00
275,PetImages\Cat\2464.jpg,00
276,PetImages\Cat\4979.jpg,00
277,PetImages\Cat\467.jpg,00
278,PetImages\Cat\3284.jpg,00
279,PetImages\Dog\1257.jpg,11
280,PetImages\Dog\3052.jpg,11
281,PetImages\Dog\557.jpg,11
282,PetImages\Cat\4841.jpg,00
283,PetImages\Cat\2324.jpg,00
284,PetImages\Dog\1437.jpg,11
285,PetImages\Cat\4861.jpg,00
286,PetImages\Dog\3009.jpg,11
287,PetImages\Dog\88.jpg,11
288,PetImages\Cat\4127.jpg,00
289,PetImages\Cat\2556.jpg,00
290,PetImages\Cat\4948.jpg,00
291,PetImages\Dog\3631.jpg,11
292,PetImages\Dog\2571.jpg,11
293,PetImages\Cat\2340.jpg,00
294,PetImages\Cat\2244.jpg,00
295,PetImages\Dog\1948.jpg,11
296,PetImages\Dog\647.jpg,11
297,PetImages\Cat\714.jpg,00
298,PetImages\Dog\4404.jpg,11
299,PetImages\Dog\3019.jpg,11
300,PetImages\Dog\308.jpg,11
301,PetImages\Dog\3519.jpg,11
302,PetImages\Cat\385.jpg,00
303,PetImages\Dog\1924.jpg,11
304,PetImages\Cat\3954.jpg,00
305,PetImages\Cat\3667.jpg,00
306,PetImages\Dog\790.jpg,11
307,PetImages\Cat\591.jpg,00
308,PetImages\Cat\4743.jpg,00
309,PetImages\Dog\219.jpg,11
310,PetImages\Dog\3980.jpg,11
311,PetImages\Cat\3267.jpg,00
312,PetImages\Dog\1546.jpg,11
313,PetImages\Dog\1360.jpg,11
314,PetImages\Cat\217.jpg,00
315,PetImages\Cat\171.jpg,00
316,PetImages\Cat\273.jpg,00
317,PetImages\Cat\609.jpg,00
318,PetImages\Dog\4154.jpg,11
319,PetImages\Dog\4867.jpg,11
320,PetImages\Dog\1932.jpg,11
321,PetImages\Cat\1678.jpg,00
322,PetImages\Cat\4951.jpg,00
323,PetImages\Cat\4928.jpg,00
324,PetImages\Dog\229.jpg,11
325,PetImages\Cat\970.jpg,00
326,PetImages\Cat\2197.jpg,00
327,PetImages\Dog\4904.jpg,11
328,PetImages\Cat\2916.jpg,00
329,PetImages\Cat\1587.jpg,00
330,PetImages\Dog\3420.jpg,11
331,PetImages\Dog\3197.jpg,11
332,PetImages\Cat\2800.jpg,00
333,PetImages\Dog\3344.jpg,11
334,PetImages\Cat\1399.jpg,00
335,PetImages\Dog\2805.jpg,11
336,PetImages\Dog\1118.jpg,11
337,PetImages\Dog\3083.jpg,11
338,PetImages\Dog\3341.jpg,11
339,PetImages\Cat\3872.jpg,00
340,PetImages\Cat\934.jpg,00
341,PetImages\Cat\711.jpg,00
342,PetImages\Dog\2646.jpg,11
343,PetImages\Dog\3828.jpg,11
344,PetImages\Cat\1360.jpg,00
345,PetImages\Cat\3677.jpg,00
346,PetImages\Cat\2449.jpg,00
347,PetImages\Dog\186.jpg,11
348,PetImages\Dog\1197.jpg,11
349,PetImages\Dog\2029.jpg,11
350,PetImages\Dog\3920.jpg,11
351,PetImages\Dog\2782.jpg,11
352,PetImages\Dog\756.jpg,11
353,PetImages\Dog\4922.jpg,11
354,PetImages\Cat\4214.jpg,00
355,PetImages\Cat\3559.jpg,00
356,PetImages\Cat\3701.jpg,00
357,PetImages\Cat\3750.jpg,00
358,PetImages\Dog\1741.jpg,11
359,PetImages\Dog\2743.jpg,11
360,PetImages\Cat\4879.jpg,00
361,PetImages\Dog\1358.jpg,11
362,PetImages\Cat\417.jpg,00
363,PetImages\Dog\2397.jpg,11
364,PetImages\Dog\1428.jpg,11
365,PetImages\Dog\1543.jpg,11
366,PetImages\Dog\3851.jpg,11
367,PetImages\Cat\1015.jpg,00
368,PetImages\Dog\4269.jpg,11
369,PetImages\Cat\2409.jpg,00
370,PetImages\Dog\2383.jpg,11
371,PetImages\Dog\47.jpg,11
372,PetImages\Dog\1065.jpg,11
373,PetImages\Dog\1620.jpg,11
374,PetImages\Cat\2137.jpg,00
375,PetImages\Cat\88.jpg,00
376,PetImages\Dog\2676.jpg,11
377,PetImages\Dog\3003.jpg,11
378,PetImages\Dog\553.jpg,11
379,PetImages\Dog\3101.jpg,11
380,PetImages\Cat\310.jpg,00
381,PetImages\Cat\4058.jpg,00
382,PetImages\Dog\2436.jpg,11
383,PetImages\Dog\1046.jpg,11
384,PetImages\Cat\3133.jpg,00
385,PetImages\Dog\4987.jpg,11
386,PetImages\Dog\3179.jpg,11
387,PetImages\Cat\3719.jpg,00
388,PetImages\Dog\4469.jpg,11
389,PetImages\Dog\3472.jpg,11
390,PetImages\Dog\3163.jpg,11
391,PetImages\Dog\648.jpg,11
392,PetImages\Cat\979.jpg,00
393,PetImages\Dog\2077.jpg,11
394,PetImages\Dog\4664.jpg,11
395,PetImages\Dog\1634.jpg,11
396,PetImages\Cat\2855.jpg,00
397,PetImages\Dog\3036.jpg,11
398,PetImages\Cat\2368.jpg,00
399,PetImages\Cat\3533.jpg,00
400,PetImages\Dog\2651.jpg,11
401,PetImages\Dog\902.jpg,11
402,PetImages\Dog\603.jpg,11
403,PetImages\Cat\512.jpg,00
404,PetImages\Dog\837.jpg,11
405,PetImages\Cat\1105.jpg,00
406,PetImages\Dog\3294.jpg,11
407,PetImages\Dog\1812.jpg,11
408,PetImages\Dog\4784.jpg,11
409,PetImages\Dog\2914.jpg,11
410,PetImages\Cat\873.jpg,00
411,PetImages\Cat\3938.jpg,00
412,PetImages\Dog\1033.jpg,11
413,PetImages\Cat\982.jpg,00
414,PetImages\Cat\3965.jpg,00
415,PetImages\Dog\4076.jpg,11
416,PetImages\Dog\1413.jpg,11
417,PetImages\Dog\203.jpg,11
418,PetImages\Cat\1379.jpg,00
419,PetImages\Dog\3610.jpg,11
420,PetImages\Cat\4501.jpg,00
421,PetImages\Dog\4734.jpg,11
422,PetImages\Dog\470.jpg,11
423,PetImages\Cat\1129.jpg,00
424,PetImages\Dog\4147.jpg,11
425,PetImages\Cat\706.jpg,00
426,PetImages\Dog\3947.jpg,11
427,PetImages\Cat\724.jpg,00
428,PetImages\Cat\2029.jpg,00
429,PetImages\Cat\4290.jpg,00
430,PetImages\Cat\1764.jpg,00
431,PetImages\Cat\2297.jpg,00
432,PetImages\Cat\3767.jpg,00
433,PetImages\Dog\1613.jpg,11
434,PetImages\Dog\4439.jpg,11
435,PetImages\Cat\1941.jpg,00
436,PetImages\Dog\2683.jpg,11
437,PetImages\Cat\4773.jpg,00
438,PetImages\Cat\2535.jpg,00
439,PetImages\Cat\1472.jpg,00
440,PetImages\Cat\2014.jpg,00
441,PetImages\Dog\1928.jpg,11
442,PetImages\Dog\249.jpg,11
443,PetImages\Dog\1088.jpg,11
444,PetImages\Dog\491.jpg,11
445,PetImages\Dog\2656.jpg,11
446,PetImages\Cat\2770.jpg,00
447,PetImages\Cat\4361.jpg,00
448,PetImages\Dog\3776.jpg,11
449,PetImages\Dog\787.jpg,11
450,PetImages\Cat\4209.jpg,00
451,PetImages\Cat\2086.jpg,00
452,PetImages\Cat\3994.jpg,00
453,PetImages\Cat\3298.jpg,00
454,PetImages\Cat\1011.jpg,00
455,PetImages\Cat\2719.jpg,00
456,PetImages\Cat\3770.jpg,00
457,PetImages\Cat\4757.jpg,00
458,PetImages\Cat\3274.jpg,00
459,PetImages\Dog\2840.jpg,11
460,PetImages\Dog\1983.jpg,11
461,PetImages\Dog\4906.jpg,11
462,PetImages\Cat\3025.jpg,00
463,PetImages\Dog\2536.jpg,11
464,PetImages\Dog\3093.jpg,11
465,PetImages\Dog\3120.jpg,11
466,PetImages\Dog\1304.jpg,11
467,PetImages\Dog\1704.jpg,11
468,PetImages\Dog\3650.jpg,11
469,PetImages\Cat\1375.jpg,00
470,PetImages\Dog\917.jpg,11
471,PetImages\Cat\3814.jpg,00
472,PetImages\Dog\1995.jpg,11
473,PetImages\Cat\17.jpg,00
474,PetImages\Dog\3218.jpg,11
475,PetImages\Cat\619.jpg,00
476,PetImages\Cat\3189.jpg,00
477,PetImages\Cat\1316.jpg,00
478,PetImages\Cat\1654.jpg,00
479,PetImages\Cat\1082.jpg,00
480,PetImages\Cat\1301.jpg,00
481,PetImages\Dog\2520.jpg,11
482,PetImages\Dog\4587.jpg,11
483,PetImages\Dog\3695.jpg,11
484,PetImages\Cat\2959.jpg,00
485,PetImages\Dog\428.jpg,11
486,PetImages\Cat\4550.jpg,00
487,PetImages\Cat\782.jpg,00
488,PetImages\Cat\1967.jpg,00
489,PetImages\Cat\1149.jpg,00
490,PetImages\Cat\1194.jpg,00
491,PetImages\Cat\3201.jpg,00
492,PetImages\Dog\3792.jpg,11
493,PetImages\Dog\2946.jpg,11
494,PetImages\Dog\3098.jpg,11
495,PetImages\Dog\276.jpg,11
496,PetImages\Dog\4222.jpg,11
497,PetImages\Cat\2944.jpg,00
498,PetImages\Cat\1785.jpg,00
499,PetImages\Cat\1388.jpg,00
500,PetImages\Dog\2031.jpg,11
501,PetImages\Cat\4646.jpg,00
502,PetImages\Cat\4489.jpg,00
503,PetImages\Dog\166.jpg,11
504,PetImages\Dog\1616.jpg,11
505,PetImages\Dog\172.jpg,11
506,PetImages\Dog\2764.jpg,11
507,PetImages\Cat\3194.jpg,00
508,PetImages\Dog\1168.jpg,11
509,PetImages\Dog\2473.jpg,11
510,PetImages\Dog\2115.jpg,11
511,PetImages\Dog\2499.jpg,11
512,PetImages\Cat\92.jpg,00
513,PetImages\Dog\1818.jpg,11
514,PetImages\Dog\3627.jpg,11
515,PetImages\Dog\1415.jpg,11
516,PetImages\Cat\4030.jpg,00
517,PetImages\Dog\765.jpg,11
518,PetImages\Dog\1439.jpg,11
519,PetImages\Dog\4477.jpg,11
520,PetImages\Cat\4607.jpg,00
521,PetImages\Cat\538.jpg,00
522,PetImages\Cat\1066.jpg,00
523,PetImages\Dog\2925.jpg,11
524,PetImages\Cat\4312.jpg,00
525,PetImages\Cat\1309.jpg,00
526,PetImages\Cat\360.jpg,00
527,PetImages\Cat\147.jpg,00
528,PetImages\Dog\4271.jpg,11
529,PetImages\Cat\4504.jpg,00
530,PetImages\Cat\4730.jpg,00
531,PetImages\Dog\2791.jpg,11
532,PetImages\Cat\2160.jpg,00
533,PetImages\Cat\1887.jpg,00
534,PetImages\Cat\4595.jpg,00
535,PetImages\Dog\2559.jpg,11
536,PetImages\Dog\813.jpg,11
537,PetImages\Dog\3399.jpg,11
538,PetImages\Cat\3586.jpg,00
539,PetImages\Dog\4666.jpg,11
540,PetImages\Dog\4663.jpg,11
541,PetImages\Dog\50.jpg,11
542,PetImages\Cat\4115.jpg,00
543,PetImages\Cat\1039.jpg,00
544,PetImages\Dog\1988.jpg,11
545,PetImages\Dog\1857.jpg,11
546,PetImages\Dog\163.jpg,11
547,PetImages\Cat\110.jpg,00
548,PetImages\Cat\23.jpg,00
549,PetImages\Dog\4795.jpg,11
550,PetImages\Cat\2637.jpg,00
551,PetImages\Dog\4507.jpg,11
552,PetImages\Dog\4024.jpg,11
553,PetImages\Dog\814.jpg,11
554,PetImages\Dog\1934.jpg,11
555,PetImages\Cat\383.jpg,00
556,PetImages\Dog\3389.jpg,11
557,PetImages\Dog\1605.jpg,11
558,PetImages\Dog\3949.jpg,11
559,PetImages\Cat\4922.jpg,00
560,PetImages\Cat\3781.jpg,00
561,PetImages\Cat\1636.jpg,00
562,PetImages\Cat\252.jpg,00
563,PetImages\Cat\4944.jpg,00
564,PetImages\Cat\298.jpg,00
565,PetImages\Cat\1432.jpg,00
566,PetImages\Dog\4853.jpg,11
567,PetImages\Cat\174.jpg,00
568,PetImages\Cat\4131.jpg,00
569,PetImages\Cat\2692.jpg,00
570,PetImages\Dog\4688.jpg,11
571,PetImages\Dog\3936.jpg,11
572,PetImages\Cat\4406.jpg,00
573,PetImages\Dog\4126.jpg,11
574,PetImages\Cat\4425.jpg,00
575,PetImages\Cat\4338.jpg,00
576,PetImages\Cat\3818.jpg,00
577,PetImages\Cat\4138.jpg,00
578,PetImages\Cat\3195.jpg,00
579,PetImages\Cat\1118.jpg,00
580,PetImages\Cat\2432.jpg,00
581,PetImages\Cat\2908.jpg,00
582,PetImages\Cat\2509.jpg,00
583,PetImages\Dog\1985.jpg,11
584,PetImages\Cat\1223.jpg,00
585,PetImages\Dog\1632.jpg,11
586,PetImages\Cat\1562.jpg,00
587,PetImages\Dog\2704.jpg,11
588,PetImages\Cat\2943.jpg,00
589,PetImages\Cat\2655.jpg,00
590,PetImages\Dog\103.jpg,11
591,PetImages\Cat\403.jpg,00
592,PetImages\Dog\1080.jpg,11
593,PetImages\Dog\3790.jpg,11
594,PetImages\Cat\880.jpg,00
595,PetImages\Cat\3919.jpg,00
596,PetImages\Dog\2085.jpg,11
597,PetImages\Cat\3884.jpg,00
598,PetImages\Dog\2026.jpg,11
599,PetImages\Cat\2077.jpg,00
600,PetImages\Cat\4797.jpg,00
601,PetImages\Dog\82.jpg,11
602,PetImages\Cat\4445.jpg,00
603,PetImages\Dog\235.jpg,11
604,PetImages\Cat\1134.jpg,00
605,PetImages\Cat\1604.jpg,00
606,PetImages\Cat\1109.jpg,00
607,PetImages\Dog\1651.jpg,11
608,PetImages\Cat\4461.jpg,00
609,PetImages\Dog\2490.jpg,11
610,PetImages\Cat\1831.jpg,00
611,PetImages\Cat\815.jpg,00
612,PetImages\Dog\190.jpg,11
613,PetImages\Cat\3169.jpg,00
614,PetImages\Dog\394.jpg,11
615,PetImages\Cat\3114.jpg,00
616,PetImages\Dog\2672.jpg,11
617,PetImages\Dog\2406.jpg,11
618,PetImages\Cat\2646.jpg,00
619,PetImages\Dog\4728.jpg,11
620,PetImages\Cat\3425.jpg,00
621,PetImages\Dog\358.jpg,11
622,PetImages\Cat\3551.jpg,00
623,PetImages\Cat\107.jpg,00
624,PetImages\Cat\3895.jpg,00
625,PetImages\Cat\242.jpg,00
626,PetImages\Cat\2938.jpg,00
627,PetImages\Dog\4416.jpg,11
628,PetImages\Cat\1705.jpg,00
629,PetImages\Dog\4446.jpg,11
630,PetImages\Dog\4924.jpg,11
631,PetImages\Dog\2351.jpg,11
632,PetImages\Dog\3333.jpg,11
633,PetImages\Cat\3371.jpg,00
634,PetImages\Cat\2778.jpg,00
635,PetImages\Cat\3321.jpg,00
636,PetImages\Dog\2907.jpg,11
637,PetImages\Dog\1687.jpg,11
638,PetImages\Cat\2589.jpg,00
639,PetImages\Cat\3903.jpg,00
640,PetImages\Dog\329.jpg,11
641,PetImages\Cat\4843.jpg,00
642,PetImages\Dog\2245.jpg,11
643,PetImages\Cat\3055.jpg,00
644,PetImages\Dog\3901.jpg,11
645,PetImages\Cat\2111.jpg,00
646,PetImages\Cat\4245.jpg,00
647,PetImages\Cat\2143.jpg,00
648,PetImages\Dog\356.jpg,11
649,PetImages\Dog\2882.jpg,11
650,PetImages\Dog\906.jpg,11
651,PetImages\Cat\2109.jpg,00
652,PetImages\Dog\4515.jpg,11
653,PetImages\Dog\2821.jpg,11
654,PetImages\Cat\1254.jpg,00
655,PetImages\Cat\1944.jpg,00
656,PetImages\Cat\255.jpg,00
657,PetImages\Cat\2553.jpg,00
658,PetImages\Dog\4255.jpg,11
659,PetImages\Cat\3117.jpg,00
660,PetImages\Cat\4410.jpg,00
661,PetImages\Dog\2326.jpg,11
662,PetImages\Dog\1217.jpg,11
663,PetImages\Cat\214.jpg,00
664,PetImages\Dog\532.jpg,11
665,PetImages\Cat\1426.jpg,00
666,PetImages\Dog\3314.jpg,11
667,PetImages\Cat\958.jpg,00
668,PetImages\Cat\4255.jpg,00
669,PetImages\Cat\2595.jpg,00
670,PetImages\Dog\1225.jpg,11
671,PetImages\Dog\4792.jpg,11
672,PetImages\Dog\3486.jpg,11
673,PetImages\Cat\3660.jpg,00
674,PetImages\Cat\4141.jpg,00
675,PetImages\Dog\180.jpg,11
676,PetImages\Cat\4002.jpg,00
677,PetImages\Dog\2724.jpg,11
678,PetImages\Dog\3276.jpg,11
679,PetImages\Dog\250.jpg,11
680,PetImages\Dog\1717.jpg,11
681,PetImages\Dog\4454.jpg,11
682,PetImages\Dog\4239.jpg,11
683,PetImages\Dog\3553.jpg,11
684,PetImages\Cat\3134.jpg,00
685,PetImages\Cat\768.jpg,00
686,PetImages\Cat\247.jpg,00
687,PetImages\Cat\2604.jpg,00
688,PetImages\Cat\1371.jpg,00
689,PetImages\Dog\3328.jpg,11
690,PetImages\Dog\1781.jpg,11
691,PetImages\Cat\1552.jpg,00
692,PetImages\Cat\4221.jpg,00
693,PetImages\Cat\3790.jpg,00
694,PetImages\Cat\3184.jpg,00
695,PetImages\Cat\4224.jpg,00
696,PetImages\Cat\162.jpg,00
697,PetImages\Dog\613.jpg,11
698,PetImages\Cat\3975.jpg,00
699,PetImages\Dog\1417.jpg,11
700,PetImages\Cat\1492.jpg,00
701,PetImages\Dog\3441.jpg,11
702,PetImages\Cat\2001.jpg,00
703,PetImages\Dog\1380.jpg,11
704,PetImages\Dog\1815.jpg,11
705,PetImages\Dog\4830.jpg,11
